trace prescaler 10
trace trig iq > 5.000000 10
iq speed set_speed unknown
51.018341 0.005722 10.000000 0.000000
51.036056 -0.042907 10.000000 0.000000
50.955474 -0.034332 10.000000 0.000000
50.960494 0.037185 10.000000 0.000000
51.003417 0.008575 10.000000 0.000000
50.999450 0.008575 10.000000 0.000000
51.036178 -0.080108 10.000000 0.000000
50.984680 0.037185 10.000000 0.000000
50.926589 -0.034332 10.000000 0.000000
51.070343 0.034332 10.000000 0.000000
50.979156 0.042907 10.000000 0.000000
50.968414 0.034332 10.000000 0.000000
50.977935 -0.037185 10.000000 0.000000
51.012130 -0.008575 10.000000 0.000000
50.994979 -0.037185 10.000000 0.000000
50.979431 0.037185 10.000000 0.000000
50.971084 0.000000 10.000000 0.000000
51.074813 -0.037185 10.000000 0.000000
51.043121 0.000000 10.000000 0.000000
50.963348 0.077239 10.000000 0.000000
51.062820 -0.031463 10.000000 0.000000
51.018234 0.005722 10.000000 0.000000
50.937896 -0.005722 10.000000 0.000000
50.994812 0.000000 10.000000 0.000000
50.977935 0.005722 10.000000 0.000000
51.018157 0.005722 10.000000 0.000000
51.010009 -0.077239 10.000000 0.000000
50.962783 -0.040054 10.000000 0.000000
50.929809 -0.040054 10.000000 0.000000
51.055084 0.005722 10.000000 0.000000
50.872833 -0.037185 10.000000 0.000000
51.008209 -0.042907 10.000000 0.000000
51.020065 -0.005722 10.000000 0.000000
51.057678 -0.042907 10.000000 0.000000
51.075836 0.005722 10.000000 0.000000
50.894577 -0.005722 10.000000 0.000000
51.015365 -0.037185 10.000000 0.000000
51.051132 0.008575 10.000000 0.000000
50.959091 0.005722 10.000000 0.000000
51.036224 0.037185 10.000000 0.000000
51.004852 -0.071517 10.000000 0.000000
51.031250 0.000000 10.000000 0.000000
51.010604 -0.002853 10.000000 0.000000
51.028320 -0.031463 10.000000 0.000000
51.003219 0.031463 10.000000 0.000000
50.995681 0.000000 10.000000 0.000000
50.986694 0.040054 10.000000 0.000000
50.994567 -0.045776 10.000000 0.000000
51.026443 -0.037185 10.000000 0.000000
50.998443 -0.034332 10.000000 0.000000
51.019363 0.000000 10.000000 0.000000
51.052139 -0.037185 10.000000 0.000000
50.905838 0.005722 10.000000 0.000000
51.044235 0.031463 10.000000 0.000000
51.017684 -0.071517 10.000000 0.000000
50.996292 -0.071517 10.000000 0.000000
50.977630 0.031463 10.000000 0.000000
50.987380 0.040054 10.000000 0.000000
50.987457 -0.005722 10.000000 0.000000
50.924758 -0.008575 10.000000 0.000000
50.945236 0.037185 10.000000 0.000000
51.009826 -0.034332 10.000000 0.000000
51.099136 -0.040054 10.000000 0.000000
50.994827 0.034332 10.000000 0.000000
50.962631 -0.102996 10.000000 0.000000
50.985534 0.005722 10.000000 0.000000
50.962173 0.037185 10.000000 0.000000
51.004547 0.040054 10.000000 0.000000
50.950958 -0.005722 10.000000 0.000000
51.036590 -0.071517 10.000000 0.000000
51.043838 -0.077239 10.000000 0.000000
51.043365 0.005722 10.000000 0.000000
51.049819 0.000000 10.000000 0.000000
50.952682 0.000000 10.000000 0.000000
50.976882 -0.037185 10.000000 0.000000
50.962936 0.000000 10.000000 0.000000
50.978363 0.031463 10.000000 0.000000
